"file","line","category","snippet","first_class_name_60"
"src/app/components/lawyer/ExecutionDashboard/components/ExecutionFullTimelineModalContainer.tsx","185","header","<div className={`flex shrink-0 items-center justify-between border-b border-white/10 px-4 py-3 ${EXEC_MODAL_HEADER_SAFE_TOP}`}>",""
"src/app/components/lawyer/ExecutionDashboard/components/ExecutionHeirsNotificationModalContainer.tsx","87","header","<div className={`border-b border-cyan-500/30 p-4 flex items-center justify-between ${EXEC_MODAL_HEADER_SAFE_TOP}`}>",""
"src/app/components/lawyer/ExecutionDashboard/components/ExecutionOverlayInstantFrame.tsx","125","header","<div className={headerClassName}>",""
"src/app/components/lawyer/ExecutionDashboard/components/ExecutionPaymentModalContainer.tsx","59","section","<div className={`fixed inset-0 z-[60] bg-black/62 flex items-center justify-center p-4 ${EXEC_MODAL_BACKDROP_SAFE_PAD}`}>",""
"src/app/components/lawyer/ExecutionDashboard/components/ExecutionPaymentModalContainer.tsx","66","header","<div className={`flex justify-between items-center mb-4 ${EXEC_MODAL_HEADER_SAFE_TOP}`}>",""
"src/app/components/lawyer/ExecutionDashboard/components/ExecutionTaskComposerForm.tsx","40","section","<div className={ntm.section}>",""
"src/app/components/lawyer/ExecutionDashboard/components/FollowupProcedureCard.tsx","146","section","<div className='border-t border-white/10'>{panelBody}</div>","border-t border-white/10"
"src/app/components/lawyer/ExecutionDashboard/components/hiddenFollowup/shared/hiddenFollowupChrome.tsx","27","section","return <div className={DETAIL_PANEL_CLASS}>{children}</div>;",""
"src/app/components/lawyer/ExecutionDashboard/components/LawReferencePanel.tsx","68","header","<div className={EXEC_OVERLAY_HEADER}>",""
"src/app/components/lawyer/ExecutionDashboard/components/maritalFurniture/MaritalFurnitureWorkspaceSheet.tsx","53","header","<div className='flex shrink-0 items-center gap-2 flex-row-reverse'>{headerActions}</div>","flex shrink-0 items-center gap-2 flex-row-reverse"
"src/app/components/lawyer/ExecutionDashboard/components/SeizureRequestSubjectModal.tsx","76","header","<div className={`flex items-center justify-between p-4 ${styles.headerBorder}`}>",""
"src/app/components/lawyer/ExecutionDashboard/components/TimelineEditModal.tsx","151","header","<div className={`sticky top-0 z-10 flex shrink-0 items-center justify-between gap-2 border-b border-white/10 bg-[#0B1120] p-3 ${EXEC_MODAL_H",""
"src/app/components/lawyer/FinancialOperationsCenter/components/FocEvictionLedgerBody.tsx","69","section","<div className={embeddedInFinancialHub ? 'flex flex-col gap-y-1' : `${SECTION_GLASS} flex flex-col gap-y-1`}>",""
"src/app/components/lawyer/Form_Urgent_Actions/UrgentActionsFormHeader.tsx","8","header","<div className='max-w-5xl mx-auto px-3 hami-overlay-header-safe-pad pb-2 flex items-center justify-between gap-2'>",""
"src/app/components/lawyer/GlobalSearchOverlay/components/RecentSearchesPanel.tsx","14","section","<div className='px-3 py-2 space-y-1.5' data-testid='global-search-recent-panel'>","px-3 py-2 space-y-1.5"
"src/app/components/lawyer/GlobalSearchOverlay/components/SearchHeader.tsx","57","header","<div className='hami-gs-header' data-compact={compact ? 'true' : 'false'}>","hami-gs-header"
"src/app/components/lawyer/GlobalSearchOverlay/GlobalSearchErrorBoundary.tsx","20","section","<div className='hami-gs-error-sheet relative w-full rounded-xl border-t border-x border-rose-500/20 bg-[#0B1021] p-4 flex flex-col items-cen",""
"src/app/components/lawyer/GlobalSearchOverlay/GlobalSearchInstantSheetChrome.tsx","42","header","<div className='hami-gs-header' data-compact='false'>","hami-gs-header"
"src/app/components/lawyer/HamiSettings/appearance/AppearanceBlockCustomizePanel.tsx","14","section","<div className='space-y-2.5' data-testid='appearance-block-customize-panel'>","space-y-2.5"
"src/app/components/lawyer/HamiSettings/SettingsSectionRouter.tsx","110","section","<div className='hami-settings-section-frame mx-auto w-full'>","hami-settings-section-frame mx-auto w-full"
"src/app/components/lawyer/HamiSettings/SettingsShellHeader.tsx","63","header","<div className='hami-settings-header-inner'>","hami-settings-header-inner"
"src/app/components/lawyer/LawyerHomeHubCard.tsx","37","section","<div className={`hami-hub-readable-panels relative z-[2] flex flex-col min-h-0 flex-1 ${vm.cardLayout.bodyRegionClass}`}>",""
"src/app/components/lawyer/LawyerNewCase/components/CaseBasicsForm.tsx","189","section","<div className={NC_SECTION}>",""
"src/app/components/lawyer/LawyerNewCase/components/CaseHeader.tsx","25","header","<div className={NC_HEADER}>",""
"src/app/components/lawyer/LawyerNewCase/components/SaveButton.tsx","19","footer","<div className={isPersonal ? PERSONAL_STATUS_FOOTER : NC_FOOTER}>",""
"src/app/components/lawyer/Modal_Quick_Log.tsx","113","article","<div className='text-white font-bold text-sm mt-0.5 truncate'>{caseName}</div>","text-white font-bold text-sm mt-0.5 truncate"
"src/app/components/lawyer/Modal_Seized_Assets_Manager.tsx","105","section","<div className={`fixed inset-0 bg-black/80 backdrop-blur-sm z-[99999] flex items-center justify-center p-4 ${EXEC_MODAL_BACKDROP_SAFE_PAD}`}",""
"src/app/components/lawyer/Modal_Unified_Summons_Hub/SummonsHubHeader.tsx","22","header","<div className={`${HUB_HEADER_CLASS} ${EXEC_MODAL_HEADER_SAFE_TOP}`}>",""
"src/app/components/lawyer/Modal_Unified_Summons_Hub/SummonsHubTablighPanel.tsx","97","section","<div className={HUB_SECTION_CARD_CLASS} dir='rtl'>",""
"src/app/components/lawyer/NotificationPanel/components/NotificationHeader.tsx","40","header","<div className='hami-notif-header-switch' data-route={panelRoute}>","hami-notif-header-switch"
"src/app/components/lawyer/NotificationPanel/components/NotificationHeaderAlertControls.tsx","17","header","<div className='hami-notif-header relative shrink-0 border-b border-white/[0.06] px-3 pb-2 pt-[max(0.25rem;env(safe-area-inset-top))] sm:px-",""
"src/app/components/lawyer/NotificationPanel/components/NotificationHeaderInbox.tsx","36","header","<div className='hami-notif-header relative shrink-0 border-b border-white/[0.06] px-3 pb-2 pt-[max(0.25rem;env(safe-area-inset-top))] sm:px-",""
"src/app/components/lawyer/NotificationPanel/components/NotificationList.tsx","27","section","<div className='space-y-3' data-testid='notification-panel-list'>","space-y-3"
"src/app/components/lawyer/NotificationPanel/components/NotificationPanelSheet.tsx","70","section","<div className='hami-notif-sheet-track'>","hami-notif-sheet-track"
"src/app/components/lawyer/personal-status/PersonalStatusDossierBody.tsx","255","footer","<div className={FOOTER_SHELL}>",""
"src/app/components/lawyer/personal-status/PersonalStatusDossierBody.tsx","262","footer","<div className={FOOTER_SHELL}>",""
"src/app/components/lawyer/personal-status/PersonalStatusDossierBody.tsx","266","footer","<div className={FOOTER_SHELL}>",""
"src/app/components/lawyer/personal-status/PersonalStatusFlowConfirmDialog.tsx","36","header","<div className={P.header}>",""
"src/app/components/lawyer/personal-status/PersonalStatusLawReferencePortal.tsx","50","header","<div className={T.header}>",""
"src/app/components/lawyer/personal-status/PersonalStatusPearlSection.tsx","56","section","<div className={cn(PS_SECTION_BODY; bodyClassName; 'relative z-[1]')}>{children}</div>",""
"src/app/components/lawyer/personal-status/PersonalStatusSmartFileChrome.tsx","62","section","<div className={PS_CHROME_BAR}>",""
"src/app/components/lawyer/personal-status/PersonalStatusStageFooterBar.tsx","45","footer","<div className={FOOTER_SHELL}>",""
