file,line,col,category,message_snippet
src\app\services\profileMediaCompress.ts,76,15,throw-prefix-missing,"canvas unavailable"
src\app\services\profileMediaCompress.ts,87,9,throw-prefix-missing,"image too large"
src\app\services\profileMediaCompress.ts,90,9,throw-prefix-missing,"image too large"
src\app\services\profileMediaService.ts,48,9,throw-prefix-missing,"image too large"
src\app\services\profileMediaService.ts,67,20,throw-prefix-missing,"image too large"
src\app\services\profileMediaService.ts,74,16,throw-prefix-missing,"image too large"
src\app\services\pushSubscriptionStore.ts,10,41,throw-prefix-missing,"kv_local_only"
src\app\services\pushSubscriptionStore.ts,12,21,throw-prefix-missing,"kv_local_only"
src\app\services\RealtimeService.ts,15,8,console-prod-use,"*     console.log('تحديث جديد:', payload);"
src\app\services\RequestSigningService.ts,40,7,throw-prefix-missing,"WIFE signing requires an authenticated user token."
src\app\services\SecureStoreService.ts,394,7,throw-prefix-missing,"crypto-not-ready"
src\app\services\SecureStoreService.ts,398,7,throw-prefix-missing,"crypto-roundtrip-mismatch"
src\app\services\SecureStoreService.ts,419,9,throw-prefix-missing,"crypto-frozen-without-key"
src\app\services\SecureStoreService.ts,436,9,throw-prefix-missing,"crypto-frozen-without-key"
src\app\services\settings\applicationWipe.ts,56,13,throw-prefix-missing,"[settings_wipe:cloud_incomplete] cloud_wipe_incomplete"
src\app\services\settings\applicationWipe.ts,244,17,throw-prefix-missing,"[settings_wipe:bff_logout_failed] bff_logout_failed"
src\app\services\settings\applicationWipe.ts,257,9,throw-prefix-missing,"local_wipe_incomplete:${local.failedStages.join("
src\app\services\settings\businessBackupCrypto.ts,29,28,throw-prefix-missing,"invalid backup password:${passwordCheck.reason}"
src\app\services\settings\businessBackupCrypto.ts,32,9,throw-prefix-missing,"[backup_crypto:plaintext_oversized] backup plaintext exceeds mobile-safe limit"
src\app\services\settings\businessBackupCrypto.ts,70,9,throw-prefix-missing,"[backup_crypto:invalid_envelope] invalid encrypted backup envelope"
src\app\services\settings\businessBackupCrypto.ts,77,43,throw-prefix-missing,"[backup_crypto:missing_fields] invalid encrypted backup"
src\app\services\settings\businessBackupCrypto.ts,83,9,throw-prefix-missing,"[backup_crypto:kdf_iterations_range] invalid backup KDF iterations"
src\app\services\settings\businessBackupCrypto.ts,90,9,throw-prefix-missing,"[backup_crypto:kdf_unsupported] unsupported backup KDF"
src\app\services\settings\businessBackupCrypto.ts,93,9,throw-prefix-missing,"[backup_crypto:ciphertext_oversized] encrypted backup exceeds size limit"
src\app\services\settings\businessBackupCrypto.ts,99,9,throw-prefix-missing,"[backup_crypto:params_invalid] invalid encrypted backup parameters"
src\app\services\settings\businessBackupCrypto.ts,104,9,throw-prefix-missing,"[backup_crypto:decrypted_oversized] decrypted backup exceeds size limit"
src\app\services\settings\businessBackupEncoding.ts,19,9,throw-prefix-missing,"[backup_encoding:base64_invalid:${label}] invalid ${label} encoding"
src\app\services\settings\businessBackupEncoding.ts,37,9,throw-prefix-missing,"[backup_encoding:vault_manifest_invalid] invalid vault blob manifest"
src\app\services\settings\businessBackupEncoding.ts,44,13,throw-prefix-missing,"[backup_encoding:vault_blob_invalid] invalid vault blob record"
src\app\services\settings\businessBackupEncoding.ts,72,13,throw-prefix-missing,"[backup_encoding:vault_blob_invalid_fields] invalid vault blob record"
src\app\services\settings\businessBackupEncoding.ts,75,33,throw-prefix-missing,"[backup_encoding:vault_blob_duplicate] duplicate vault blob record"
src\app\services\settings\businessBackupEncoding.ts,79,13,throw-prefix-missing,"[backup_encoding:vault_blobs_oversized] vault blobs exceed the mobile-safe backup limit"
src\app\services\settings\businessBackupImport.ts,44,17,throw-prefix-missing,"[backup_import:vault_orphan] vault blob is not referenced by the imported vault index"
src\app\services\settings\businessBackupImport.ts,48,17,throw-prefix-missing,"[backup_import:vault_checksum] vault blob checksum mismatch"
src\app\services\settings\businessBackupImport.ts,71,17,throw-prefix-missing,"backup restore verification failed:${k}"
src\app\services\settings\businessBackupImport.ts,133,25,throw-prefix-missing,"backup rollback delete verification failed:${k}"
src\app\services\settings\businessBackupImport.ts,141,25,throw-prefix-missing,"backup rollback restore verification failed:${k}"
src\app\services\settings\businessBackupImport.ts,150,13,throw-prefix-missing,"backup restore failed and rollback was incomplete"
src\app\services\settings\businessBackupImport.ts,167,9,throw-prefix-missing,"[backup_import:file_oversized] backup exceeds the mobile-safe import limit"
src\app\services\settings\businessBackupImport.ts,186,9,throw-prefix-missing,"[backup_import:envelope_invalid] invalid backup"
src\app\services\settings\businessBackupImport.ts,193,9,throw-prefix-missing,"[backup_import:records_invalid] backup contains invalid records"
src\app\services\settings\deleteLawyerAccount.ts,35,13,throw-prefix-missing,"[delete_account:cloud_incomplete] account_delete_incomplete"
src\app\services\settings\deleteLawyerAccount.ts,50,13,throw-prefix-missing,"[delete_account:bff_logout_failed] bff_logout_failed"
src\app\services\settings\deleteLawyerAccount.ts,65,9,throw-prefix-missing,"[delete_account:unauthenticated] account_delete_unauthenticated"
src\app\services\settings\deleteLawyerAccount.ts,79,9,throw-prefix-missing,"local_wipe_incomplete:${local.failedStages.join("
src\app\services\settings\verifySensitiveSettingsAction.ts,19,9,throw-prefix-missing,"[sensitive_gate:csprng_unavailable] csprng_unavailable"
src\app\services\settings\wallpaperEditorRender.ts,80,15,throw-prefix-missing,"[wallpaper_render:canvas_unavailable] canvas unavailable"
src\app\services\settings\wallpaperEditorRender.ts,109,20,throw-prefix-missing,"[wallpaper_render:export_failed] canvas export failed"
src\app\services\settings\wallpaperEditorRender.ts,128,13,throw-prefix-missing,"[wallpaper_render:image_too_large] image too large"
src\app\services\storage\lawyerStorageRuntime.ts,19,13,throw-prefix-missing,"Unauthorized upload: session user mismatch"
src\app\services\storage\lawyerStorageRuntime.ts,22,13,throw-prefix-missing,"work_cloud_upload_disabled"
src\app\services\storage\lawyerStorageRuntime.ts,63,13,throw-prefix-missing,"Upload response missing path"
src\app\services\storage\removeRemoteStoragePaths.ts,25,9,console-prod-use,"console.warn('[LawyerStorage] فشل حذف ملف(ات) من المخزن:', toRemove.join(', '));"
src\app\services\SupabaseService.ts,168,7,throw-prefix-missing,"execution_file_id_missing"
src\app\services\SupabaseService.ts,254,17,throw-prefix-missing,"Execution file not found: ${fileId}"
src\app\services\SupabaseService.ts,275,7,throw-prefix-missing,"lawsuit_file_id_missing"
src\app\services\taskHelp\taskHelpApiService.ts,77,29,throw-prefix-missing,"RECIPIENT_NOT_IN_NETWORK"
src\app\services\taskHelp\taskHelpApiService.ts,104,17,throw-prefix-missing,"ACCEPT_FAILED"
src\app\services\taskHelp\taskHelpApiService.ts,136,23,throw-prefix-missing,"NOTE_FAILED"
src\app\services\taskHelp\taskHelpScenarios.ts,42,29,throw-prefix-missing,"expected first accept ok, got ${first.code}"
src\app\services\taskHelp\taskHelpScenarios.ts,66,36,throw-prefix-missing,"party notes should succeed"
src\app\services\taskHelp\taskHelpScenarios.ts,69,28,throw-prefix-missing,"helper_done failed: ${done.code}"
src\app\services\taskHelp\taskHelpScenarios.ts,72,33,throw-prefix-missing,"owner_confirm failed: ${confirmed.code}"
src\app\services\vault\smartVaultRuntime.ts,100,17,console-prod-use,"console.error('[Vault] saveDoc background flush failed', err);"
src\app\services\vault\smartVaultRuntime.ts,103,13,console-prod-use,"console.error('[Vault] saveDoc degraded persist - keeping in-memory index', err);"
src\app\services\vault\vaultDocResolve.ts,228,9,throw-prefix-missing,"unsafe vault preview url"
src\app\services\vault\vaultDocResolve.ts,264,16,throw-prefix-missing,"vault download unavailable"
src\app\services\vaultBlobStore.ts,426,18,throw-prefix-missing,"vault blob database unavailable"
src\app\services\vaultBlobStore.ts,554,18,throw-prefix-missing,"vault blob database unavailable"
src\app\services\vaultBlobStore.ts,591,18,throw-prefix-missing,"vault blob database unavailable"
src\app\services\vaultUploadService.ts,85,9,console-prod-use,"console.error('[Vault] background blob persist failed', err, fileLabel);"
src\app\services\vaultUploadService.ts,123,9,throw-prefix-missing,"file too large"
src\app\services\vaultUploadService.ts,148,25,throw-prefix-missing,"user required"
src\app\services\vaultUploadService.ts,149,42,throw-prefix-missing,"file too large"
src\app\services\vaultUploadService.ts,201,47,throw-prefix-missing,"file too large"
src\app\services\vaultUploadService.ts,203,13,throw-prefix-missing,"invalid scan source"
src\app\services\vaultUploadService.ts,209,47,throw-prefix-missing,"invalid data url"
src\app\services\vaultUploadService.ts,211,24,throw-prefix-missing,"invalid data url"
src\app\services\vaultUploadService.ts,215,57,throw-prefix-missing,"invalid data url"
src\app\services\vaultUploadService.ts,217,50,throw-prefix-missing,"file too large"
src\app\services\vaultUploadService.ts,222,5,throw-prefix-missing,"invalid scan source"
src\app\services\vaultUploadService.ts,236,25,throw-prefix-missing,"user required"
