file,line,has_type,type_value,has_onClick,inside_form_context,class_final,downgrade_reason_or_note,raw_snippet_240chars
"src/app/components/admin/HeadquartersUserRow.tsx",106,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" className=""hq-dir-identity"" onClick={onOpen} data-testid={`hq-user-open-${user.id}`} aria-expanded={open} aria-label={`فتح إضبارة ${displayName}`} >"
"src/app/components/admin/HeadquartersUserRow.tsx",198,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" disabled={busy} aria-expanded={!isSuspended && pickingFreeze} onClick={() => { if (isSuspended) { onUnfreeze(); return; } onToggleFreezePicker(); }} className={cn('hq-dir-freeze', isSuspended ? 'hq-dir-freeze-stop' :"
"src/app/components/admin/HeadquartersUserRow.tsx",224,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" disabled={busy} data-testid={`hq-public-badge-${user.id}`} aria-pressed={isAccreditedLawyer(user)} aria-label={ isAccreditedLawyer(user) ? `إزالة علامة التوثيق عن ${displayName}` : `وضع علامة التوثيق لـ ${displayName"
"src/app/components/admin/hqChrome.tsx",30,1,"button",0,0,"B0-SAFE-explicit-type-button","","<button type=""button"" className={cn('hq-btn hq-btn-ghost', className)} {...props}>"
"src/app/components/admin/hqChrome.tsx",89,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" className={className} onClick={onClick} aria-label={`${label}: ${value}`} >"
"src/app/components/admin/hqChrome.tsx",134,1,"button",0,0,"B0-SAFE-explicit-type-button","","<button type=""button"" aria-pressed={active} className={cn('hq-chip', active && 'hq-chip-active')} {...props} >"
"src/app/components/admin/HqConsultationsPanel.tsx",203,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" className=""text-white/60 text-xs hover:text-white disabled:opacity-50 min-h-11 px-2"" disabled={busyId === post.id} onClick={() => void onMutate(post.id, post.pinned ? 'unpin' : 'pin')} >"
"src/app/components/admin/HqConsultationsPanel.tsx",211,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" className=""text-white/60 text-xs hover:text-white disabled:opacity-50 min-h-11 px-2"" onClick={() => void onMutate(post.id, post.locked ? 'unlock' : 'lock')} disabled={busyId === post.id} >"
"src/app/components/admin/HqConsultationsPanel.tsx",219,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" className=""text-red-400 text-xs hover:text-red-300 disabled:opacity-50 min-h-11 px-2"" disabled={busyId === post.id} onClick={() => void onDelete(post.id)} >"
"src/app/components/admin/HqFold.tsx",49,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" className=""hq-fold-toggle"" aria-expanded={open} aria-controls={panelId} aria-label={ariaLabel} onClick={toggle} >"
"src/app/components/admin/HqForumAdminPanel.tsx",327,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" onClick={() => void handleBan()} disabled={actionLoading !== null} className=""mt-3 min-h-11 rounded-xl bg-red-600 px-6 py-2.5 text-sm font-bold text-white transition hover:bg-red-700"" >"
"src/app/components/admin/HqForumAdminPanel.tsx",351,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" onClick={() => void handleUnban(b.userId)} disabled={actionLoading !== null} className=""min-h-11 rounded-lg border border-green-600/50 bg-green-600/20 px-4 py-2 text-xs font-bold text-green-500 transition hover:bg-g"
"src/app/components/admin/HqReportsInbox.tsx",238,1,"button",1,0,"B0-SAFE-explicit-type-button","","<button type=""button"" onClick={() => handleDeletePost(report.postId, report.id)} disabled={Boolean(actionLoading)} className=""flex min-h-11 items-center gap-1 rounded-lg border border-red-500/30 bg-red-500/20 px-3 text-xs font-bold text-"
